Publication_Number,Abstract
US-6834756-B2,"A conveyor assembly having a conveying member made substantially of ultra-high-molecular-weight polyethylene material. The conveying member can be provided with a support structure for supporting the conveying member. At least one biasing member and at least one securing member can be used to secure the conveying member to the support structure. The biasing member and the securing member, along with the support structure, form an arrangement which can allow the conveying device to accommodate the growths and deformities of the conveying member."
US-6969595-B2,A method for the production of carotenoid compounds is disclosed. The method relies on the use of microorganisms which metabolize single carbon substrates for the production of carotenoid compounds in high yields.
US-6601564-B2,"A flexible fuel rail system for fuel injection systems for internal combustion piston engines, particularly for engines having at least one or more banks of aligned cylinders. The fuel rail system incorporates two or more longitudinal fuel rails, connected by one or more crossover sections. The crossover section(s) include(s) one or more sections of enhanced flexibility, preferably corrugations. The fuel rails, crossover sections and sections of enhanced flexibility are preferably all fabricated from metal, preferably monolithically formed from a single piece of metal. The fuel rails preferably are provided with non-circular cross-sectional configurations, so that the walls of the fuel rails will flex, under the influence of fuel pressure pulsations caused by the fuel injectors, so as to substantially reduce or eliminate the negative impacts of such pulsations on the operation of the other injectors in the fuel injection system."
US-7267916-B2,"An electrophotographic photoreceptor including an electroconductive substrate and a photosensitive layer located overlying the electroconductive substrate, wherein an outermost layer of the electrophotographic photoreceptor includes a particulate fluorine-containing resin, and wherein a primary particle of the particulate fluorine-containing resin and a secondary particle formed of agglomerated primary particles thereof, which are projected from a surface of the outermost layer and have an average particle diameter of from 0.15 to 3 μm, are present in an area ratio not less than 10% based on total surface area of the outermost layer."
US-6964850-B2,"Gene expression data, in particular gene expression profiles, are created and used in the identification, monitoring and treatment of disease and characterization of biological conditions. Profile data sets are derived from subject samples and include quantitative substantially repeatable measures of a distinct amount of RNA or protein constituent in a panel selected to enable evaluation of a biological condition. Such profile data sets may be used to provide an index indicative of the biological state of a subject, which may be compared to a normative value of the index determined with respect to a relevant population of subjects."
US-7039033-B2,"A system, a wireless hand-held device, and software component for accessing information responsive to short-range radio signals is provided. The system includes a wireless gateway device coupled to a network, such as a cellular network. The wireless gateway device includes a network manager software component for accessing information from the network responsive to a first short-range radio signal. The network may be a corporate, private or public network, such as the Internet. A first wireless device is coupled to the wireless gateway device. The first wireless device provides the first short-range radio signal. In an embodiment of the present invention, the first wireless device is a cellular telephone, personal digital assistant or thin terminal having a Bluetooth™ processor and transmitter. In an embodiment of the present invention, the network manager software component includes a plug and play software component for loading and executing software for the first wireless device. In an embodiment of the present invention, a second wireless device accesses information on the first wireless device using the wireless gateway device."
US-7248845-B2,"An exemplary transceiver comprises a power amplifier configured to receive a source signal and generate an amplified output signal, an antenna coupled to the power amplifier, the antenna being configured to radiate the amplified output signal, and a controller coupled to the power amplifier. The controller is configured to control an effective gain of the power amplifier based on a power level of operation of the transmitter. A source amplifier configured to operate on the source signal prior to power amplification is also controlled by the controller. The controller configures the gain level of the source amplifier based on the power level of operation of the transmitter and the effective gain of the power amplifier to improve signal-to-noise ratio."
US-6729397-B2,"A hydrocarbon containing formation may be treated using an in situ thermal process. A mixture of hydrocarbons, H 2 , and/or other formation fluids may be produced from the formation. Heat may be applied to the formation to raise a temperature of a portion of the formation to a pyrolysis temperature. The formation to be treated may be chosen so that the mixture produced from the formation will have a desired amount of condensable hydrocarbons and non-condensable hydrocarbons. The formation to be treated may be chosen based on an initial vitrinite reflectance of the formation."
US-6455599-B1,"Process for the preparation of expanded polyvinylarene particles in which polyvinylarene particles pre-expanded to an apparent density d o  ranging between 600 and 200 kg/m 3  are impregnated by an inorganic gas, and the impregnated particles thus obtained are expanded to an apparent density of at least three times lower than d o ."
US-6938145-B2,"A computer system includes a central processing unit, an addressable main memory storing data pages and a page table, and an associative memory. The associative memory stores a plurality of entries in accordance with a low order virtual address component issued by the CPU&#39;s processor when access to a given page in main memory is sought. Each entry in the associative memory includes fields respectively holding: 1) a high order virtual address component; 2) a real page address; and 3) a multi-digit validity count. An incrementable multi-digit counter in the CPU stores a current validity count. When access to a data page is sought, a comparator receives: 1) the high order virtual address component of the data page; 2) the high order virtual address component read from the associative memory entry; 3) the multi-digit validity count read from the associative memory entry; and 4) the multi-digit current validity count in the counter. If there is a full match, a switch issues the real page address read from the associative memory entry. If there is not a match, the page table is consulted to obtain the real address of the requested page, and the associative memory is updated accordingly."
US-6959678-B2,"The manufacturing method for the air intake apparatus has a holding-portion forming step, a temporarily fixing step, and a joining step. In the holding-portion forming step, a holding portion is formed. In the temporarily fixing step, the porous member is held by the holding portion. In the joining step, the holding portion and the porous member are joined together. Thus, an air intake apparatus, in which the opening is reliably covered with the porous member, can be manufactured. In the air intake apparatus manufactured by this manufacturing method, a peripheral portion of the porous member is doubly sealed with the holding portion that is an outer edge part of the opening. Consequently, the opening is reliably covered with the porous member, so that intake noise is reliably reduced."
US-6915373-B2,"In a cache system a steering array indirect maps queries to the cache cells, and a cyclic replacement mechanism allocates the cache cells for replacement in the cache. The cache system has a hash mechanism, a steering array and a cyclic replacement counter. The hash mechanism computes a hash value from arguments in the query. The cache has a plurality of cache cells, and each cell has an answer and a usage bit indicating whether the cell is in use. The steering array stores a cache index based on the hash value, and the cache index points to a cache cell that may contain the answer to the query. The cyclic replacement counter addresses each cell in the cache to determine if the cell is still in use or may store a new answer."
US-7070381-B2,"A front loading refuse vehicle includes at least one positive displacement pump having an associated valve system in fluid communication with drive mechanism that operates a lifting arm, packer, a rear door of the vehicle, and a hoist for a refuse storage body. The valve system includes at least one closed-centered valve with a spool mechanism having a pressure compensator to maintain a constant flow rate of fluid through the valve regardless of differential in pressure across the valve for any given position of the spool mechanism. Two pumps with two separate hydraulic control systems are used with a side loading refuse vehicle. An electrical/electronic control system including a microprocessor operates the valve systems for each vehicle."
US-7274623-B2,A novel operation regime for capacitive micromachined ultrasonic transducers (cMUTs). The collapse-snapback operation in which the center of the membrane makes intermittent contact with the substrate. This combines two distinct states of the membrane (in-collapse and out-of-collapse) to unleash unprecedented acoustic output pressures into the medium. The collapse-snapback operation utilizes a larger range of membrane defection profiles (both collapsed and released membrane profiles) and generates higher acoustic output pressures than the conventional operation. Collapse-snapback operation meets the extreme acoustic transmit pressure demands of the ultrasonic industry.
US-6578382-B2,"A method for heat treating a synthetic quartz glass for optical use in a heating furnace, that comprises covering the surroundings of a synthetic quartz glass body with a SiO 2  powder having a mean dissolved hydrogen molecule concentration of 1×10 19  molecules/cm 3  or higher, and then heat treating the body."
US-6928013-B2,"A timing control method for operating a synchronous memory. The synchronous memory has a local data bus, a signal amplification bus and a global data bus. The timing control method includes manipulating the local data bus, the signal amplification bus and the global bus such that a series of operations including pre-charging the local data buses, developing signals on the amplifier buses is performed evenly within one clock cycle. Amplifying and transferring local data to global data is moved to next cycle and hid within the local data pre-charging period."
US-7125699-B2,HUTUDO1 polypeptides and polynucleotides and methods for producing such polypeptides by recombinant techniques are disclosed. Also disclosed are methods utilizing HUTUDO1 polypeptides and polynucleotides in diagnostic assays.
US-7349780-B2,"A steering angular velocity computing device detects a change in a steering angle, measures a required time from a time when the steering angle changed until a time when the steering angle next changed, and computes, after the detector has detected a change in the steering angle, the steering angular velocity by dividing an amount of change in the steering angle by the required time corresponding to the amount of change and outputs it. When the steering angular velocity is being reduced, the steering angular velocity computing unit outputs the steering angular velocity during a first extended output period longer than the required period. Thus, the steering angular velocity is outputted with a high accuracy when the steering angular velocity is being reduced."
US-6514020-B2,"A guide device for pilot hole drill bits for use with hardware items having countersunk screw holes, wherein the device provides a drill bit holder which is reciprocably mounted in a body member on a drill axis and which is formed with an abutment end portion, wherein axial position adjustment structure is provided for allowing the end portion to contact the angled wall surfaces of a countersunk screw hole on a plane which is oriented normal to the axis of a screw hole and the drill axis, wherein the body member lies flat on the upper surface of the item."
US-6692944-B2,"The present invention relates to a process for the systhesis of optically enriched dextro- and laevo-rotatory isomers of rose oxide from racemic citronellol. The invention particularly relates to the preparation of optically enriched (−)-(2 S, 4 R)-rose oxide and its isomer (+)-(2 R, 4 S)-rose oxide torn racemic citronellol."
US-6775214-B2,"This invention comprises additional recording means for recording the data in a predetermined position on an optical disk, then reproducing the data recorded in the predetermined position, and not only detecting the end of the predetermined position but also recording the data again from an unrecorded area following the end and power control means for controlling the recording power in recording the recording data, on the basis of the result of the reproduction in the additional recording."
US-6894513-B2,"The present application describes a method and an apparatus for characterizing a conductive plane using multipoint measurement. In an embodiment of the present invention, a known current is injected in the conductive plane using multipoint probes and voltage is measured using multipoint probes. The electrical characteristics of the plane can be determined using the values of the known current, measured voltage and the distance between the probes. In an embodiment of the present invention, the conductive plane is integrated in a semiconductor package of an integrated circuit and the value of the known current is determined based on the actual current that can be provided by the integrated circuit during normal operation."
US-7063380-B1,"This invention discloses a leisure time use easy chair, especially for use in the garden or camping. The chair includes a back, a seat, and a leg rest, with a piece of fabric stretched over the surfaces being formed by these elements, a pair of armrests, and a base with front and rear legs. The chair further includes a transverse link between the front and rear legs. This link has a sliding locking mechanism to maintain a certain incline angle of the back and the leg rest. The position of the sliding mechanism decreases the risk of harm to the user&#39;s fingers. In addition, the chair is fully collapsible. The object of the present invention is firstly to solve the problem of safety, and secondly to provide an esthetic and more comfortable easy chair."
US-6612769-B2,"A package for a multiple-component composition includes a first sheet and a second sheet connected to the first sheet, and at least one of the sheets is made of a flexible material. At least two storage chambers and a mixing chamber are located between the sheets and interconnected by passageways. In certain embodiments, the mixing chamber is located between the passageways. In some embodiments, the passageways are spaced from each other. Compressing the storage chamber directs components in the respective chambers into the mixing chamber for subsequent dispensing as needed. Optionally, an actuator is provided and has a channel for receiving the package. As the package moves through the channel, the storage chambers are compressed and the components in the storage chamber are directed to the mixing chamber."
US-6754823-B1,A computer program product and method for installing downloaded software on a client system over a network is described. The product and method include generating an access key by receiving an installation key produced using a random number generated from a seed that is the value of a client system internal clock at the exact moment in time to the millisecond at which a software installation program was run on the client produce the access code by modulo combining the installation key and user name received by the client system.
US-6770364-B2,"The present invention provides synthetic hair comprising fiber of 30 to 100 decitex, comprising an acrylic copolymer obtained by copolymerizing acrylonitrile, vinylidene chloride and a vinyl monomer containing a sulfonic acid group and a process for preparing the synthetic hair. The synthetic hair of the present invention has favorable surface gloss and excellent knot strength and hair breaking in the sewing machine steps when preparing the weft and in implanting hair to skin when preparing wigs and toupees is improved. The fiber which becomes the synthetic fiber is prepared by preparing a spinning solution containing, in a polymer solution of an acrylic polymer comprising 40 to 74% by weight of acrylonitrile, 25 to 59% by weight of vinylidene chloride and 1 to 5% by weight of a vinyl monomer containing a sulfonic acid group copolymerizable therewith and a good solvent, 5 to 20 parts by weight of water based on 100 parts by weight of the polymer, forming fiber by wet spinning, conducting drawing treatment so that the total drawing ratio becomes 2.5 to 12 times and conducting relaxing treatment so that the total relaxation ratio becomes at least 15%. By this method, synthetic hair is obtained, in which the gloss contrast is at least 0.88, the knot strength is at least 0.5 cN/decitex and the average fineness of the filament is 30 to 100 decitex."
US-6831950-B2,"A first sequence [SQ 1 ] of data blocks [DB 1 -*] and a second sequence [SQ 2 ] of data blocks [DB 2 -*] are encoded. The second sequence [SQ 2 ] of data blocks [DB 2 -*] is correlated with the first sequence [SQ 1 ] of data blocks [DB 1 -*]. This may concern, for example, an encoding of stereoscopic (3D) video. The first sequence [SQ 1 ] of data blocks [DB 1 -*] is encoded in such a manner that certain data blocks serve as a reference [REF] for predictively encoding [PE] the other data blocks in the first sequence [SQ 1 ]. The second sequence [SQ 2 ] of data blocks [DB 2 -*] is encoded in such a manner that all data blocks [DB 2 -*] are predictively encoded [PE] with respect to those data blocks [DB 1 -*] in the first sequence [SQ 1 ] which serve as a reference [REF]. For example, in a stereoscopic (3D) video encoding application, left-eye video frames are MPEG-encoded as if they belonged to an ordinary, non-stereoscopic video signal and right-eye video frames are all B-encoded with respect to I and P-encoded left-eye video frames, or vice versa. At the decoding end a relatively small memory will be sufficient for the purpose of decoding."
US-6919449-B2,"The present invention relates to a method for the preparation of cephalosporin antibiotic of the formula (II), which comprises hydrolyzing and halogenating the ester of formula (III) 
                 
 
by photochemical irradiation in one pot using a halogenating agent in the absence or presence of a solvent, to produce compound of formula (I), activating the 4-halogeno-2-substitutedimino-3-oxo-butyric acid of formula (I) using conventional activation agents gives compound of formula (IV), condensing the activated compound of the formula (IV) with 7-amino cephem derivative of the formula (V) to produce a compound of formula (VI), and cyclizing the compound of formula (VI) with thiourea to give cephalosporin compounds of the formula (II)."
US-6931838-B2,"Oxygen sensors ( 3, 13 ) are provided upstream and downstream of a three-way catalytic converter ( 10 ) in an exhaust passage ( 9 ) of an internal combustion engine ( 1 ). A controller ( 2 ) performs feedback correction of an air-fuel ratio of an air-fuel mixture burnt in the engine ( 1 ) by proportional/integral control based on the output of the upstream oxygen sensor ( 3 ). In this process, the controller ( 2 ) corrects a proportional part by a correction value based on the output of the downstream oxygen sensor ( 13 ) (S 11 , S 12 ). The feedback correction is performed based on a feedback correction coefficient calculated using the proportional part and an integral part. The controller ( 2 ) further determines if there is a leak in the exhaust passage ( 9 ) based on the correction value (S 61 ) (S 62 ). Higher diagnostic precision is obtained than in the case where the determination is performed based directly on the feedback correction coefficient."
US-6933081-B2,"A method for minimizing damage to a substrate while repairing a defect in a phase shifting mask for an integrated circuit comprising locating a bump defect in a phase shifting mask, depositing a first layer of protective coating to an upper surface of the bump defect, depositing a second layer of protective coating to areas of the phase shifting mask adjacent the bump defect, etching the first layer of protective coating and removing the bump defect."
US-6955248-B2,"Disclosed are a combination type damper and a washing machine having the same. The combination type damper comprises: a cylinder provided with a receiving space having a certain depth at one side thereof; a rod relative-movably inserted into the receiving space of the cylinder; and a composite damping means for generating a damping force by an electromagnetic force when a displacement of a relative movement of the cylinder and the rod is less than a preset length, and for generating a frictional damping force when the displacement of the relative movement is more than the preset length. Transient state vibration and steady state vibration generated from a tub assembly during the entire processes for washing laundry are prevented from being transmitted to a cabinet, thereby minimizing vibration noise towards outside while using the washing machine."
US-6674113-B2,"A trench capacitor has a first capacitor electrode, a second capacitor electrode, and a dielectric, which is arranged between the capacitor electrodes. The first capacitor electrode has a tube-like structure, which extends into a substrate. The second capacitor electrode includes a first section which is opposite to the internal side of the tube-like structure, with the dielectric arranged therebetween, and a second section, which is opposite to the external side of the tube-like structure with the dielectric arranged therebetween."
US-6872667-B1,"Methods of fabricating semiconductor devices using separate periphery and cell region etching steps are provided. A substrate is provided, wherein the substrate has a cell region and a periphery region separated by a shallow trench isolation (STI). The STI is filled with a dielectric material. A protective layer is formed on the periphery region, allowing semiconductor structures to be formed in the cell region without damaging the surface of the periphery region. Upon forming the semiconductor structures in the cell region, a portion of the dielectric material in the STI adjacent to the cell region is partially removed. The dielectric material adjacent to the periphery region is substantially unetched."
US-6986937-B2,"The present invention relates to a double-sided copper-clad laminate for forming a capacitor layer, formed by adhering electrodeposited copper foils on the both sides of a dielectric layer of a thickness of 10 μm or less, and the object of the present invention is to secure good voltage resistant proprieties. 
     For the double-sided copper-clad laminate of the present invention uses an electrodeposited copper foil provided with a matte side to be joined to the dielectric layer prepared by physically polishing the rough surface of an untreated electrodeposited copper foil obtained by an electrolysis method to a surface roughness (Rz) of 0.5 μm to 3.0 μm, and nodular treatment, and as required, passivation, silane coupling agent treatment, or the like are performed thereon. As the manufacturing method thereof, a manufacturing method wherein the surfaces of the resin layers of two electrodeposited copper foils having resin layers facing to each other are adhered, or the like."
US-7047436-B2,"A digital microelectronic circuit comprises a clocked data-processing unit ( 1 ) and a converting unit ( 2 ) which reads in data present at the output of the data-processing unit, performs a predetermined converting operation on the data and passes on the converted data. The converting unit is realized in an asynchronous logic circuit, such that the period of time for performing the converting operation is shorter than the shortest time interval to the next change of the data present at the output of the data-processing unit. In this way, fast, serial synchronous processes can be parallelized from the point of view of the slow synchronous system in synchronous systems which are slow relative thereto by using asynchronous logics, without a further high-frequency clock system being required."
US-6618449-B1,"A receiver of a frequency-shift-keying, continuous-wave radar comprises at least sampling means taking real samples of the signals in each reception channel and extrapolation means, the extrapolation means producing fictitious samples synchronous with the real samples, the reception signals being formed out of real samples and fictitious samples. Application especially to radars fitted into automobiles."
US-6771536-B2,"The present invention presents a non-volatile memory having a plurality of erase units or blocks, where each block is divided into a plurality of parts sharing the same word lines to save on the row decoder area, but which can be read or programmed independently. An exemplary embodiment is a Flash EEPROM memory with a NAND architecture that has blocks composed of a left half and a right half, where each part will accommodate one or more standard page (data transfer unit) sizes of 512 bytes of data. In the exemplary embodiment, the left and right portions of a block each have separate source lines, and separate sets of source and drain select lines. During the programming or reading of the left side, as an example, the right side can be biased to produce channel boosting to reduce data disturbs. In an alternate set of embodiments, the parts can have separate well structures."
US-6781654-B2,"A mobile terminal having a liquid crystal display apparatus, which includes a liquid crystal panel having a polygonal flat shape and an adhesion member installed on at least one part among edges except corner parts at the flat portion of the liquid crystal panel. The mobile terminal includes a transmission and reception unit positioned at one side of a case, an input adjusting unit exposed to external portion of the case, a control unit, and a liquid crystal display driving unit operated by an output signal of the control unit, Accordingly, the mobile terminal with the liquid crystal display apparatus features improved durability and reliability since the liquid crystal panel has minimized spot generation that may occur from physical impacts, temperature changes or applied wrenching loads."
US-6914674-B1,"A weather identification system is provided which employs a first photosensitive receiver positioned directly in the path of a beam of light a predetermined distance from a partially coherent light beam source. The first photosensitive receiver is in direct optical communication with the light beam source to produce electronic signals in response to scintillations caused by particle movement between the source and the first receiver. A second photosensitive receiver is positioned out of the path of the beam of light and is oriented at an oblique angle relative thereto to provide an output indicative of forward scattering of light from scintillations that occur in the beam of light. The signals from the second photosensitive receiver are AC coupled to provide an output indicative of rate of fluctuation and having a signal strength characteristic that even distinguishes between light drizzle and fog. The weather identification system thereby senses precipitation, categorizes the precipitation as either rain or snow, and drizzle. The weather condition indicating system is ideal for use in remotely monitoring airfields."
US-7196503-B2,"A current averaging circuit for averaging a piecewise linear switching current waveform of a PWM power converter including first, second and third sample and hold circuits and a sample averaging circuit. The first sample and hold circuit samples a short duration of the current waveform for each PWM cycle and provides corresponding short samples. The second sample and hold circuit samples a long duration of each PWM cycle and provides corresponding long samples. The sample averaging circuit is coupled to the first and second sample and hold circuits, averages corresponding ones of the short and long samples and provides corresponding average values. The third sample and hold circuit samples each average value and provides a current average signal. The waveform may include ramp-on-a-step voltage pulses representing switching current. The current average signal is updated after each current pulse."
US-6705177-B2,"A robot arm mechanism includes a handling member for supporting and handling an object, a robot arm made up of a plurality of links, and a robot arm driving mechanism for driving the robot arm to assume its contracted and extended position. The robot arm comprises first and second arm links, a link retaining mechanism pivotably retaining the first and second arm links and a link operating mechanism to operate one of the first and second arm links by a motion of the other of the first and second arm links. The link operating mechanism comprises a crank, a coupling link and a connecting link. The crank integrally connected to the coupling link is pivotably connected to one of the first and second arms and to the link retaining mechanism. The connecting link is pivotably connected to the other of the first and second arms. This leads to the advantage that the robot arms can be contracted and extended and rotated by only two electric motors."
US-7176249-B2,"The invention provides an aqueous ink composition, which comprises at least: 1) an alkali neutralized product of a copolymer containing constituent units of: (i) at least one monomer selected from the group consisting of alkene, styrene, styrene derivatives, vinyl naphthalene, and vinyl naphthalene derivatives; (ii) at least one monomer selected from monomers containing an acidic group that ion dissociate; and (iii) at least one α,β-ethylenic unsaturated carboxylic acid alkyl ester; 2) a pigment; and 3) an aqueous medium, wherein the alkali neutralized product of the copolymer in the aqueous ink composition forms micelle aggregations with an average diameter being set in the range of 10 nm to 300 nm. A manufacturing method of the aqueous ink composition and an image forming method using the aqueous ink composition are also provided."
US-7264996-B2,"This invention relates to a method for separating at least two wafers ( 1, 2 ) bonded together to form a stacked structure. At least one bending force is applied to all or part of the stacked structure to separate the stacked structure into two parts along a required separation plane. 
     Application particularly for producing a thin semiconducting layer."
US-7323056-B2,A coating apparatus is provided in which entrained air flow of an applicator roll and a web is removed and occurrences of misting and coating irregularity are suppressed to thereby realize a uniform coating liquid film and a uniform coating state. A coating apparatus includes an applicator roll arranged to abut on another roll so as to form a nip portion therebetween and to transfer a coating liquid to be coated on a surface of a web passing through the nip portion. The coating apparatus further includes a coater head provided on an upstream side of the nip portion in a rotational direction of the applicator roll so as to supply the coating liquid onto a surface of the applicator roll and a boundary air remover provided between the nip portion and the coater head on the upstream side of the nip portion so as to prevent air from entering the nip portion. The boundary air remover includes a box part having an ejector ejecting an ejector gas on the surface of the applicator roll toward a direction reverse to the rotational direction of the applicator roll and also comprises a blade. The box part is constructed so as to cover a portion of the applicator roll.
US-6727000-B2,"Multilayer heat-shrinkable films in which the skin layers A consist of a polyolefin selected from: A1) a composition containing 25-45% b.w. of a random copolymer of propylene with ethylene and 55-75% b.w. of a random terpolymer of propylene, ethylene and one or more C 4 -C 10  alpha-olefins; and A2) random copolymer(s) of propylene and one or more C 4 -C 10  alpha-olefins. Core layer B comprises a heterophasic composition comprising: a) 20-60% b.w. of a propylene homopolymer with an isotacticity index higher than 80 or of a propylene crystalline copolymer with ethylene and/or C 4 -C 10  alpha-olefins containing at least 85% b.w. of propylene units and having an isotacticity index of at least 80 or of mixtures thereof and b) 40-80% b.w. of an ethylene copolymer with propylene and/or 1-butene and possibly a diene, containing 20-60% b.w. of ethylene units and completely soluble in xylene at 25° C."
US-6969424-B2,"Method for the production of a chemically bound ceramic material by means of reaction between a binding phase of one or more powdered binding agents and a liquid reacting with these binding agents, a quantity of powder containing said binding phase being suspended in said liquid so that all powder grains are brought into close contact with the liquid, whereupon the slurry thus obtained is drained so that the majority of surplus reacting liquid is removed, and is compacted during final draining, before the material is permitted to harden by reaction between said binding phase and the remaining liquid. One or more expansion-compensating additives, adapted to give the material dimensionally stable long-term properties, are mixed into said powder, prior to or in conjunction with its suspension in the liquid. The invention also relates to the product of the method."
US-6619325-B2,A hydraulic accumulator is equipped with a novel shut-off valve. The shut off-valve includes a valve body having a cylindrical hollow with a valve seat surrounding one end. The main piston including a piston head has a central opening and is slidably mounted within the cylindrical hollow of the valve body. A poppet valve has a valve head which mates with the valve seat and a valve stem which extends through the central opening of the piston to guide axial movement of the poppet valve relative to the piston. A spring is mounted between the valve head and the main piston head for urging the valve head away from the piston head. A control valve moves the piston relative to the valve body between open and closed positions responsive to signals from a computer which signals valve closing upon determination that flow rate through the valve exceeds a maximum period. The spring between the poppet valve head and the piston head exerts a force approximately equal to that of a pressure drop across the poppet valve at a predetermined maximum flow rate.
US-6763009-B1,"A base station of a code division, multiple access (CDMA) telecommunications system employs scheduling of data transmission signals to corresponding user transceivers in down-link channels of a data network. One or more user transceivers may be in communication with a base station within a cell, and each user may have a minimum data rate requirement. In accordance with the present invention, the scheduling of user data transmission follows the constraints that 1) each base station transmits to user transceivers one at a time, and 2) the base station uses full available power for the down-link channel when transmitting (for data networks only). Given a data network of users, the method of scheduling and data rates may be modeled in accordance with a linear programming problem optimized according to a predefined criterion. In addition, the present method may be employed in a hybrid CDMA/time-share system to reduce power of data channels in communication with user transceivers near the base station. A continuum of rates may be achieved based on the system signal to interference ratio (S/I). The error rate requirement of a user&#39;s down-link channel may be met provided the S/I of the channel is greater than a predetermined threshold value."
US-7321177-B2,"A synchronous electric motor including a rotor having a rotation axis, and a stator surrounding the rotor through a gap. The rotor includes a rotor core having an outer circumferential surface extending about the rotation axis and a plurality of permanent magnets attached to the rotor core to form plural poles along the outer circumferential surface of the rotor core. The outer circumferential surface of the rotor core is provided, at each pole, with a contour deviating from a circular arc and bulging out in a radial outward direction, as seen in a cross-section perpendicular to the rotation axis. The permanent magnets include a plurality of magnet sets individually assigned to the plural poles, each set including two or more permanent magnets. The contour of the outer circumferential surface of the rotor core, at each pole, has at least partially a shape represented by a hyperbolic cosine function or a secant function."
US-7326461-B2,"A composite material has a base substrate body with first and second coatings. Each coating is formed by a multiphase layer of titanium oxide and at least two oxides from the group of aluminum, zirconium, and hafnium oxide and a second single-phase layer on the first layer consisting of only one oxide of aluminum, zirconium, and hafnium."
US-6706174-B1,A filter assembly is for use in a water by-pass compartment of a hot tub. The filter assembly comprises an open-top housing and an operably associated filter basket. The housing is for placement in the by-pass compartment. A support member is positioned within the housing near its open-top. A rigid periphery found on the filter basket sits on a ledge of the support member. The filter basket is made of a water porous synthetic material. Debris is trapped on the filter basket as hot tub water is pulled through it. The filter basket is easily lifted free from the open-top housing and then cleaned if desired or simply replaced with a new filter basket.
US-6751595-B2,"Multiple processing stages are provided with different vocabulary databases to improve processing time, efficiency, and accuracy in speech recognition. The entire vocabulary is divided into smaller vocabulary subsets, which are associated with particular keywords. A small vocabulary subset is generated or retrieved based on certain information, such as a calling party&#39;s locality. A user is prompted to provide input information, such as the locality in which a business whose phone number is requested is located, in the form of a spoken utterance to the system. If the utterance matches one of the entries in the initial small vocabulary subset, then the utterance is considered to be recognizable. If the utterance is not recognizable when compared to the initial small vocabulary subset, then the utterance is stored for later use. The user is then prompted for a keyword related to another subset of words in which his initial utterance may be found. A vocabulary subset associated with the received keyword is generated or retrieved. The initial stored utterance is then retrieved and compared to the newly loaded vocabulary subset. If the utterance matches one of the entries in the newly loaded vocabulary subset, then the utterance is recognizable. Otherwise, it is determined that the initial utterance was unrecognizable, and the user is prompted to repeat the initial utterance."
US-6836272-B2,"A graphics system includes a frame buffer that includes one or more memory devices and a frame buffer interface coupled to the frame buffer. Each memory device in the frame buffer includes N banks. Each of the N banks includes multiple pages, and each page is configured to store data corresponding to a portion of a screen region. The frame buffer interface is configured to generate address used to store data corresponding to a frame of data in the frame buffer. The frame includes multiple screen regions. The frame buffer interface is configured to generate addresses corresponding to the data and to provide the addresses to the frame buffer. The addresses are generated such that each of the N banks stores data corresponding to a portion of one out of every N screen regions within a horizontal group of screen regions."
US-6850287-B1,A TV receiver having a metal front cabinet is provided with a discharge path between the front cabinet and a ground portion of the TV receiver. The discharge path includes a series circuit in which a discharge tube is connected in series to a parallel circuit of a first resistor and a high-voltage capacitor and a second resistor that is connected in parallel to the series circuit. The discharge path effectively discharges a voltage occurring at the front cabinet via the second resistor while preventing a sudden flow of current and reducing the influence of static electricity. The series circuit in which the discharge tube is connected in series to the parallel circuit of the first resistor and the high-voltage capacitor has a function of causing high-voltage pulses occurring at the ground portion GND to escape to the front cabinet while converting those into pulses having a low voltage level.
US-7060664-B2,"Bicyclo[2.2.1]heptanes or heptenes mono-substituted at the 7-position with a substituent selected from the group consisting of linear or branched C 2-10  alkyl or alkenyl, and alkylidene, and fragrance compositions containing same."
US-6446298-B1,"A scraper for removing debris from the floor of an animal stall includes a central frame member oriented generally parallel to the direction of movement of the scraper assembly and a cross frame member integral with the central frame member, the cross frame member having opposed first and second ends. First and second beams are pivotally supported on the first and second frame member ends and are generally parallel to the cross frame member. First and second scraper blades are pivotally supported, respectively, by the first and second beams, the blades being pivotal from a vertical orientation adapted for scraping a floor surface during advancement of the blade assembly in a first direction and pivotal to elevated, non-scraping orientation for retraction of the assembly in a direction opposite from the scraping direction. Preferably, a pair of end scrapers are supported by the outer ends of each of the two beams and hingedly connected thereto by a vertical hinge. These extension blade end scraper members are, thus, pivotal from an orientation generally parallel to the beams for scraping of a floor surface and pivotal to a second orientation generally perpendicular to the beams for retraction of the scraper device in a non-scraping direction."
US-6781727-B2,"The invention relates to an arrangement for operating an optical transmission or reception module at high data rates of up to 10 Gbit/s, having a TO package with electrical connections, an optical transmission or reception module arranged in the TO package, and a circuit board for making electrical contact with the electrical connections of the TO package. According to the invention, the circuit board ( 6 ) has RF lines ( 81, 82 ) and the electrical connections ( 41, 42 ) are connected to the RF lines ( 81, 82 ) in an arrangement parallel to the plane of the board. Preferably, provision is also made for an RF matching circuit to be produced on the board and for SMD components to be fitted directly and without further solder pads onto planar RF lines on the RF board. The cited measures serve to improve the RF properties of a TO module."
